year,age,sex,people
1991,0,1,402599
1991,1,1,393976
1991,2,1,392047
1991,3,1,398715
1991,4,1,387158
1991,5,1,384327
1991,6,1,381807
1991,7,1,366999
1991,8,1,368827
1991,9,1,368616
1991,10,1,374440
1991,11,1,377423
1991,12,1,364362
1991,13,1,336326
1991,14,1,331472
1991,15,1,346593
1991,16,1,361836
1991,17,1,373556
1991,18,1,399529
1991,19,1,423364
1991,20,1,437341
1991,21,1,435884
1991,22,1,449859
1991,23,1,453097
1991,24,1,465385
1991,25,1,465881
1991,26,1,476401
1991,27,1,475334
1991,28,1,465058
1991,29,1,454073
1991,30,1,449767
1991,31,1,429763
1991,32,1,415327
1991,33,1,406351
1991,34,1,393984
1991,35,1,386069
1991,36,1,374026
1991,37,1,379092
1991,38,1,376454
1991,39,1,368308
1991,40,1,378560
1991,41,1,388135
1991,42,1,401857
1991,43,1,428232
1991,44,1,468755
1991,45,1,366479
1991,46,1,360957
1991,47,1,364634
1991,48,1,346692
1991,49,1,317691
1991,50,1,293191
1991,51,1,309981
1991,52,1,312193
1991,53,1,310516
1991,54,1,304647
1991,55,1,298874
1991,56,1,293042
1991,57,1,283415
1991,58,1,281244
1991,59,1,288276
1991,60,1,289653
1991,61,1,283429
1991,62,1,276067
1991,63,1,270465
1991,64,1,270307
1991,65,1,271129
1991,66,1,260917
1991,67,1,255237
1991,68,1,248910
1991,69,1,253524
1991,70,1,253902
1991,71,1,254761
1991,72,1,164256
1991,73,1,149907
1991,74,1,159390
1991,75,1,161136
1991,76,1,159205
1991,77,1,149506
1991,78,1,136311
1991,79,1,121363
1991,80,1,107049
1991,81,1,96187
1991,82,1,83950
1991,83,1,71966
1991,84,1,59620
1991,85,1,48776
1991,86,1,40535
1991,87,1,32056
1991,88,1,25220
1991,89,1,19209
1991,90+,1,46262
1991,0,2,387121
1991,1,2,377580
1991,2,2,375712
1991,3,2,380941
1991,4,2,371021
1991,5,2,366481
1991,6,2,364926
1991,7,2,350801
1991,8,2,351857
1991,9,2,351956
1991,10,2,358430
1991,11,2,360724
1991,12,2,346334
1991,13,2,320372
1991,14,2,314830
1991,15,2,329900
1991,16,2,343608
1991,17,2,355981
1991,18,2,380345
1991,19,2,404702
1991,20,2,429090
1991,21,2,425206
1991,22,2,443403
1991,23,2,448646
1991,24,2,460272
1991,25,2,468960
1991,26,2,478825
1991,27,2,477660
1991,28,2,469120
1991,29,2,458941
1991,30,2,447437
1991,31,2,428919
1991,32,2,421525
1991,33,2,413297
1991,34,2,401096
1991,35,2,386580
1991,36,2,375151
1991,37,2,380883
1991,38,2,378976
1991,39,2,372810
1991,40,2,378911
1991,41,2,390835
1991,42,2,403787
1991,43,2,431339
1991,44,2,468801
1991,45,2,366795
1991,46,2,361936
1991,47,2,363957
1991,48,2,346743
1991,49,2,317667
1991,50,2,294363
1991,51,2,311059
1991,52,2,314982
1991,53,2,312337
1991,54,2,306360
1991,55,2,302545
1991,56,2,295963
1991,57,2,288134
1991,58,2,289062
1991,59,2,296688
1991,60,2,304425
1991,61,2,304990
1991,62,2,298348
1991,63,2,294156
1991,64,2,296354
1991,65,2,299189
1991,66,2,296361
1991,67,2,297087
1991,68,2,297699
1991,69,2,307610
1991,70,2,318548
1991,71,2,327844
1991,72,2,219553
1991,73,2,207322
1991,74,2,223981
1991,75,2,234492
1991,76,2,242200
1991,77,2,235007
1991,78,2,220303
1991,79,2,205940
1991,80,2,192895
1991,81,2,181964
1991,82,2,168634
1991,83,2,154322
1991,84,2,136505
1991,85,2,120900
1991,86,2,106685
1991,87,2,90963
1991,88,2,77323
1991,89,2,63850
1991,90+,2,201523
1992,0,1,402275
1992,1,1,401584
1992,2,1,393973
1992,3,1,392315
1992,4,1,398251
1992,5,1,387053
1992,6,1,384087
1992,7,1,382084
1992,8,1,367317
1992,9,1,368312
1992,10,1,367908
1992,11,1,374549
1992,12,1,377014
1992,13,1,364222
1992,14,1,336008
1992,15,1,331314
1992,16,1,345821
1992,17,1,359114
1992,18,1,370105
1992,19,1,395860
1992,20,1,422297
1992,21,1,436625
1992,22,1,434746
1992,23,1,447971
1992,24,1,451252
1992,25,1,464089
1992,26,1,464684
1992,27,1,474236
1992,28,1,472213
1992,29,1,462933
1992,30,1,451927
1992,31,1,447092
1992,32,1,427861
1992,33,1,415059
1992,34,1,406403
1992,35,1,393775
1992,36,1,385374
1992,37,1,373436
1992,38,1,378216
1992,39,1,376128
1992,40,1,367994
1992,41,1,377789
1992,42,1,387093
1992,43,1,400926
1992,44,1,427482
1992,45,1,465708
1992,46,1,366379
1992,47,1,360300
1992,48,1,362858
1992,49,1,345535
1992,50,1,315825
1992,51,1,292447
1992,52,1,308408
1992,53,1,310447
1992,54,1,308946
1992,55,1,302764
1992,56,1,296489
1992,57,1,290416
1992,58,1,280575
1992,59,1,278462
1992,60,1,284362
1992,61,1,285267
1992,62,1,278619
1992,63,1,271076
1992,64,1,264776
1992,65,1,264138
1992,66,1,263839
1992,67,1,253257
1992,68,1,247184
1992,69,1,240181
1992,70,1,243928
1992,71,1,243352
1992,72,1,242877
1992,73,1,156901
1992,74,1,141873
1992,75,1,149779
1992,76,1,150765
1992,77,1,147748
1992,78,1,137711
1992,79,1,124892
1992,80,1,110051
1992,81,1,96337
1992,82,1,85661
1992,83,1,73923
1992,84,1,62638
1992,85,1,51142
1992,86,1,41491
1992,87,1,33984
1992,88,1,26351
1992,89,1,20393
1992,90+,1,50027
1992,0,2,382842
1992,1,2,386112
1992,2,2,377531
1992,3,2,375967
1992,4,2,380610
1992,5,2,370790
1992,6,2,366665
1992,7,2,365097
1992,8,2,351130
1992,9,2,352042
1992,10,2,351574
1992,11,2,359150
